,mch_0,eta_0,e_eta,p_bns,p_bhns,p_gap,p_bbh,p_ns
0,0.5,-7.0,0.25,0.0,0.0,0.0,0.0,0.0
1,0.5,-7.0,0.5,0.0,0.0,0.0,0.0,0.0
2,0.5,-7.0,0.75,0.0,0.0,0.0,0.0,0.0
3,0.5,-7.0,1.0,0.0,0.0,0.0,0.0,0.0
4,0.5,-7.0,1.25,0.0,0.0,0.0,0.0,0.0
5,0.5,-7.0,1.5,0.0,0.0,0.0,0.0,0.0
6,0.5,-7.0,1.75,0.0,0.0,0.0,0.0,0.0
7,0.5,-7.0,2.0,0.0,0.0,0.0,0.0,0.0
8,0.5,-7.0,2.25,0.0,0.0,0.0,0.0,0.0
9,0.5,-7.0,2.5,0.0,0.0,0.0,0.0,0.0
10,0.5,-7.0,2.75,0.0,0.0,0.0,0.0,0.0
11,0.5,-7.0,3.0,0.0,0.0,0.0,0.0,0.0
12,0.5,-7.0,3.25,0.0,0.0,0.0,0.0,0.0
13,0.5,-7.0,3.5,0.0,0.0,0.0,0.0,0.0
14,0.5,-7.0,3.75,0.0,0.0,0.0,0.0,0.0
15,0.5,-7.0,4.0,0.0,0.0,0.0,0.0,0.0
16,0.5,-7.0,4.25,0.0,0.0,0.0,0.0,0.0
17,0.5,-7.0,4.5,0.0,0.0,0.0,0.0,0.0
18,0.5,-7.0,4.75,0.0,0.0,0.0,0.0,0.0
19,0.5,-7.0,5.0,0.0,0.0,0.0,0.0,0.0
20,0.5,-7.0,5.25,0.0,0.0,0.0,0.0,0.0
21,0.5,-7.0,5.5,0.0,0.0,0.0,0.0,0.0
22,0.5,-7.0,5.75,0.0,0.0,0.0,0.0,0.0
23,0.5,-7.0,6.0,0.0,0.0,0.0,0.0,0.0
24,0.5,-7.0,6.25,0.0,0.0,0.0,0.0,0.0
25,0.5,-7.0,6.5,0.0,0.0,0.0,0.0,0.0
26,0.5,-7.0,6.75,0.0,0.0,0.0,0.0,0.0
27,0.5,-7.0,7.0,0.0,0.0,0.0,0.0,0.0
28,0.5,-7.0,7.25,0.0,0.0,0.0,0.0,0.0
29,0.5,-7.0,7.5,0.0,0.0,0.0,0.0,0.0
30,0.5,-7.0,7.75,0.0,0.0,0.0,0.0,0.0
31,0.5,-7.0,8.0,0.0,0.0,0.0,0.0,0.0
32,0.5,-7.0,8.25,0.0,0.0,0.0,0.0,0.0
33,0.5,-7.0,8.5,0.0,0.0,0.0,0.0,0.0
