,mch_0,eta_0,e_eta,p_bns,p_bhns,p_gap,p_bbh,p_ns
0,1.0,-1.0,0.25,0.0,0.0,1.0000000000000002,1.8002149547729945e-233,0.0
1,1.0,-1.0,0.5,0.0,0.0,0.9999999999999999,1.464632049349979e-62,0.0
2,1.0,-1.0,0.75,0.0,0.0,0.9999999999999998,1.09412553109843e-28,7.006992000897913e-295
3,1.0,-1.0,1.0,1.408170227191804e-221,0.0,0.9999999999999999,7.084051791543662e-17,1.2487613542561833e-166
4,1.0,-1.0,1.25,1.7903488407850546e-142,0.0,0.9999999999793912,2.06087923204003e-11,2.630430024392696e-107
5,1.0,-1.0,1.5,1.581083398324603e-99,0.0,0.9999999803917053,1.960829460870844e-08,4.196549727944526e-75
6,1.0,-1.0,1.75,1.2058744716534416e-73,0.0,0.999998740560823,1.2594391768313626e-06,1.0725967134685837e-55
7,1.0,-1.0,2.0,7.508657962563987e-57,0.0,0.999980778035458,1.922196454195212e-05,4.2169901514667925e-43
8,1.0,-1.0,2.25,2.4557255704857523e-45,0.0,0.9998730197933545,0.00012698020664523283,1.8290585180369773e-34
9,1.0,-1.0,2.5,4.26004498835315e-37,0.0,0.9995021928711013,0.0004978071288987343,2.7827998283310726e-28
10,1.0,-1.0,2.75,5.362034464931487e-31,0.0,0.9986145661493762,0.001385433850623786,1.0548521493647355e-23
11,1.0,-1.0,3.0,2.3595035594769444e-26,0.0,0.9969507056984158,0.0030492943015843644,3.2367783218952915e-20
12,1.0,-1.0,3.25,9.781672931062549e-23,0.0,0.9943172936715168,0.005682706328483194,1.689957893471993e-17
13,1.0,-1.0,3.5,7.31899772716984e-20,0.0,0.9906206852976874,0.009379314702312527,2.4438373436277717e-15
14,1.0,-1.0,3.75,1.5358667800493433e-17,0.0,0.9858638001160727,0.014136199883927373,1.3619503855965474e-13
15,1.0,-1.0,4.0,1.2291991911196601e-15,0.0,0.9801231870892183,0.019876812910780327,3.683035736404962e-12
16,1.0,-1.0,4.25,4.673864093264144e-14,0.0,0.9735212981206133,0.026478701879339966,5.6981101065019894e-11
17,1.0,-1.0,4.5,9.91253901902594e-13,0.0,0.966202298516944,0.033797701482064825,5.688078993536023e-10
18,1.0,-1.0,4.75,1.3212465075371137e-11,0.0,0.9583142874355224,0.041685712551265006,4.006585684827441e-09
19,1.0,-1.0,5.0,1.21140014034385e-10,0.0,0.9499978070790512,0.05000219279980868,2.130900698503603e-08
20,1.0,-1.0,5.25,8.18858801431984e-10,0.0,0.9413793560129979,0.05862064316814338,9.013971624704072e-08
21,1.0,-1.0,5.5,4.307088580584329e-09,0.0,0.9325684450850585,0.06743155060785297,3.158006358262477e-07
22,1.0,-1.0,5.75,1.839389584260922e-08,0.0,0.9236569607299335,0.07634302087617055,9.460300833513454e-07
23,1.0,-1.0,6.0,6.597558931292719e-08,0.0,0.9147199212919165,0.08528001273249405,2.485574429004893e-06
24,1.0,-1.0,6.25,2.0424082007928302e-07,0.0,0.9058169984480129,0.09418279731116715,5.845992295888758e-06
25,1.0,-1.0,6.5,5.579006413278485e-07,0.0,0.8969943927242214,0.10300504937513724,1.2514426875169243e-05
26,1.0,-1.0,6.75,1.3692765339184754e-06,0.0,0.8882868037778157,0.11171182694565057,2.4716750137342466e-05
27,1.0,-1.0,7.0,3.0650350536691737e-06,0.0,0.8797193382090972,0.1202775967558491,4.55485440806634e-05
28,1.0,-1.0,7.25,6.335538320343714e-06,0.0,0.8713092653501227,0.12868439911155694,7.905202155084557e-05
29,1.0,-1.0,7.5,1.2219345287864738e-05,0.0,0.8630675760965143,0.13692020455819753,0.0001302261043880797
30,1.0,-1.0,7.75,2.2183352208569287e-05,0.0,0.8550003289965162,0.1449774876512748,0.0002049674620087685
31,1.0,-1.0,8.0,3.8188882061803366e-05,0.0,0.8471097863963852,0.15285202472155293,0.0003099497166368094
32,1.0,-1.0,8.25,6.273560795313422e-05,0.0,0.8393953546849119,0.16054190970713492,0.00045245462224854927
33,1.0,-1.0,8.5,9.887798111679877e-05,0.0,0.8318543487974166,0.1680467732214665,0.0006401723186341126
34,1.0,-1.0,8.75,0.00015021211671657251,0.0,0.824482603728509,0.17536718415477454,0.0008809880836357863
35,1.0,-1.0,9.0,0.00022083421598571967,0.0,0.8172749560473057,0.18250420973670867,0.0011827711396288016
36,1.0,-1.0,9.25,0.00031527411277489553,0.0,0.8102256171866334,0.18945910870059193,0.001553177914086755
37,1.0,-1.0,9.5,0.00043840920200967576,0.0,0.8033284582261362,0.19623313257185412,0.0019994785062850966
38,1.0,-1.0,9.75,0.0005953648163313569,0.0,0.7965772234535241,0.20282741173014482,0.002528411567088026
39,1.0,-1.0,10.0,0.0007914071843373623,0.0,0.7899656874646249,0.20924290535103798,0.0031460697291947185
40,1.0,0.55,0.25,0.0,0.0,1.0000000000000002,3.604711483104027e-155,0.0
41,1.0,0.55,0.5,0.0,0.0,0.9999999999999999,4.9654126722471893e-42,0.0
42,1.0,0.55,0.75,0.0,0.0,1.0000000000000002,1.4699539847705958e-19,8.1604285362194e-263
43,1.0,0.55,1.0,1.1311815705854481e-200,0.0,0.9999999999900218,9.978050689433391e-12,1.3605773851305266e-148
44,1.0,0.55,1.25,4.287302382958413e-129,0.0,0.9999999573926995,4.2607300343883394e-08,9.208478730788259e-96
45,1.0,0.55,1.5,3.095892171204352e-90,0.0,0.9999958765012802,4.12349871989621e-06,4.3748921377074294e-67
46,1.0,0.55,1.75,8.119474767323284e-67,0.0,0.9999331077400099,6.689225998996277e-05,8.3890909346323305e-50
47,1.0,0.55,2.0,1.2757125592630542e-51,0.0,0.9995820556656483,0.00041794433435176774,1.381262011253514e-38
