mch_0,q_0,e_q,p_bns,p_bhns,p_bbh,p_gap,p_ns
0.500000,4.00000,1.00000,0.139691,0.578122,0.00000,0.282187,1.00000
0.500000,4.00000,1.25000,0.193354,0.562651,0.00000,0.243994,1.00000
0.500000,4.00000,1.50000,0.235319,0.552280,0.00000,0.212401,0.999999
0.500000,4.00000,1.75000,0.268145,0.544845,0.00000,0.187007,0.999998
0.500000,4.00000,2.00000,0.294198,0.539232,0.00000,0.166538,0.999968
0.500000,4.00000,2.25000,0.315240,0.534731,0.00000,0.149847,0.999818
0.500000,4.00000,2.50000,0.332522,0.530764,0.00000,0.136047,0.999334
0.500000,4.00000,2.75000,0.346934,0.526813,0.00000,0.124486,0.998235
0.500000,4.00000,3.00000,0.359119,0.522456,0.00000,0.114679,0.996255
0.500000,4.00000,3.25000,0.369541,0.517406,0.00000,0.106268,0.993216
0.500000,4.00000,3.50000,0.378546,0.511517,0.00000,0.0989811,0.989047
0.500000,4.00000,3.75000,0.386390,0.504767,0.00000,0.0926120,0.983770
0.500000,4.00000,4.00000,0.393255,0.497215,0.00000,0.0870007,0.977472
0.500000,3.86000,1.00000,0.173143,0.522787,0.00000,0.304069,1.00000
0.500000,3.86000,1.25000,0.225528,0.518235,0.00000,0.256236,0.999999
0.500000,3.86000,1.50000,0.264957,0.515199,0.00000,0.219844,0.999999
0.500000,3.86000,1.75000,0.295132,0.513027,0.00000,0.191838,0.999998
0.500000,3.86000,2.00000,0.318759,0.511379,0.00000,0.169839,0.999977
0.500000,3.86000,2.25000,0.337666,0.509992,0.00000,0.152197,0.999856
0.500000,3.86000,2.50000,0.353100,0.508575,0.00000,0.137777,0.999452
0.500000,3.86000,2.75000,0.365910,0.506796,0.00000,0.125795,0.998503
0.500000,3.86000,3.00000,0.376703,0.504348,0.00000,0.115693,0.996745
0.500000,3.86000,3.25000,0.385909,0.501010,0.00000,0.107069,0.993990
0.500000,3.86000,3.50000,0.393847,0.496673,0.00000,0.0996247,0.990146
0.500000,3.86000,3.75000,0.400744,0.491334,0.00000,0.0931368,0.985216
0.500000,3.86000,4.00000,0.406764,0.485064,0.00000,0.0874340,0.979262
0.500000,3.72000,1.00000,0.211299,0.467009,0.00000,0.321692,1.00000
0.500000,3.72000,1.25000,0.260531,0.473592,0.00000,0.265877,1.00000
0.500000,3.72000,1.50000,0.296381,0.477986,0.00000,0.225632,1.00000
0.500000,3.72000,1.75000,0.323307,0.481126,0.00000,0.195565,0.999998
0.500000,3.72000,2.00000,0.344142,0.483468,0.00000,0.172373,0.999983
0.500000,3.72000,2.25000,0.360686,0.485206,0.00000,0.153994,0.999887
0.500000,3.72000,2.50000,0.374116,0.486338,0.00000,0.139097,0.999552
0.500000,3.72000,2.75000,0.385219,0.486720,0.00000,0.126792,0.998733
0.500000,3.72000,3.00000,0.394546,0.486165,0.00000,0.116464,0.997177
0.500000,3.72000,3.25000,0.402484,0.484522,0.00000,0.107677,0.994684
0.500000,3.72000,3.50000,0.409312,0.481721,0.00000,0.100113,0.991148
0.500000,3.72000,3.75000,0.415233,0.477780,0.00000,0.0935346,0.986547
0.500000,3.72000,4.00000,0.420383,0.472782,0.00000,0.0877624,0.980927
0.500000,3.58000,1.00000,0.253977,0.411872,0.00000,0.334151,1.00000
0.500000,3.58000,1.25000,0.298138,0.429277,0.00000,0.272584,1.00000
0.500000,3.58000,1.50000,0.329413,0.440964,0.00000,0.229622,1.00000
0.500000,3.58000,1.75000,0.352532,0.449345,0.00000,0.198120,0.999998
0.500000,3.58000,2.00000,0.370247,0.455636,0.00000,0.174104,0.999987
0.500000,3.58000,2.25000,0.384221,0.460471,0.00000,0.155219,0.999912
0.500000,3.58000,2.50000,0.395513,0.464125,0.00000,0.139995,0.999633
0.500000,3.58000,2.75000,0.404818,0.466642,0.00000,0.127469,0.998930
0.500000,3.58000,3.00000,0.412613,0.467953,0.00000,0.116987,0.997555
0.500000,3.58000,3.25000,0.419235,0.467980,0.00000,0.108090,0.995307
0.500000,3.58000,3.50000,0.424920,0.466693,0.00000,0.100444,0.992058
0.500000,3.58000,3.75000,0.429836,0.464131,0.00000,0.0938040,0.987772
0.500000,3.58000,4.00000,0.434095,0.460391,0.00000,0.0879846,0.982472
0.500000,3.44000,1.00000,0.300790,0.358424,0.00000,0.340786,0.999999
0.500000,3.44000,1.25000,0.338040,0.385838,0.00000,0.276121,1.00000
0.500000,3.44000,1.50000,0.363833,0.404452,0.00000,0.231714,1.00000
0.500000,3.44000,1.75000,0.382656,0.417886,0.00000,0.199456,0.999999
0.500000,3.44000,2.00000,0.396965,0.428020,0.00000,0.175006,0.999989
0.500000,3.44000,2.25000,0.408192,0.435882,0.00000,0.155856,0.999931
0.500000,3.44000,2.50000,0.417230,0.442009,0.00000,0.140462,0.999701
0.500000,3.44000,2.75000,0.424657,0.446619,0.00000,0.127821,0.999099
0.500000,3.44000,3.00000,0.430869,0.449759,0.00000,0.117259,0.997888
0.500000,3.44000,3.25000,0.436135,0.451422,0.00000,0.108304,0.995862
0.500000,3.44000,3.50000,0.440646,0.451621,0.00000,0.100615,0.992884
0.500000,3.44000,3.75000,0.444535,0.450417,0.00000,0.0939437,0.988896
0.500000,3.44000,4.00000,0.447885,0.447917,0.00000,0.0880998,0.983903
0.500000,3.30000,1.00000,0.351143,0.307617,0.00000,0.341239,0.999999
0.500000,3.30000,1.25000,0.379851,0.343785,0.00000,0.276362,1.00000
