,mch_0,q_0,e_q,p_bns,p_bhns,p_gap,p_bbh,p_ns
0,0.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.5,4.0,1.25,0.0,0.0,0.0,0.0,0.0
2,0.5,4.0,1.5,1.0,0.0,0.0,0.0,1.0
3,0.5,4.0,1.75,1.0,0.0,0.0,0.0,1.0
4,0.5,4.0,2.0,1.0,0.0,0.0,0.0,1.0
5,0.5,4.0,2.25,1.0,0.0,0.0,0.0,1.0
6,0.5,4.0,2.5,1.0,0.0,0.0,0.0,1.0
7,0.5,4.0,2.75,1.0,0.0,0.0,0.0,1.0
8,0.5,4.0,3.0,1.0,0.0,0.0,0.0,1.0
9,0.5,4.0,3.25,1.0,0.0,0.0,0.0,1.0
10,0.5,4.0,3.5,1.0,0.0,0.0,0.0,1.0
11,0.5,4.0,3.75,1.0,0.0,0.0,0.0,1.0
12,0.5,4.0,4.0,1.0,0.0,0.0,0.0,1.0
13,0.5,3.86,1.0,0.0,0.0,0.0,0.0,0.0
14,0.5,3.86,1.25,0.0,0.0,0.0,0.0,0.0
15,0.5,3.86,1.5,1.0,0.0,0.0,0.0,1.0
16,0.5,3.86,1.75,1.0,0.0,0.0,0.0,1.0
17,0.5,3.86,2.0,1.0,0.0,0.0,0.0,1.0
18,0.5,3.86,2.25,1.0,0.0,0.0,0.0,1.0
19,0.5,3.86,2.5,1.0,0.0,0.0,0.0,1.0
20,0.5,3.86,2.75,1.0,0.0,0.0,0.0,1.0
21,0.5,3.86,3.0,1.0,0.0,0.0,0.0,1.0
22,0.5,3.86,3.25,1.0,0.0,0.0,0.0,1.0
23,0.5,3.86,3.5,1.0,0.0,0.0,0.0,1.0
24,0.5,3.86,3.75,1.0,0.0,0.0,0.0,1.0
25,0.5,3.86,4.0,1.0,0.0,0.0,0.0,1.0
26,0.5,3.7199999999999998,1.0,0.0,0.0,0.0,0.0,0.0
27,0.5,3.7199999999999998,1.25,0.0,0.0,0.0,0.0,0.0
28,0.5,3.7199999999999998,1.5,1.0,0.0,0.0,0.0,1.0
29,0.5,3.7199999999999998,1.75,1.0,0.0,0.0,0.0,1.0
30,0.5,3.7199999999999998,2.0,1.0,0.0,0.0,0.0,1.0
31,0.5,3.7199999999999998,2.25,1.0,0.0,0.0,0.0,1.0
32,0.5,3.7199999999999998,2.5,1.0,0.0,0.0,0.0,1.0
33,0.5,3.7199999999999998,2.75,1.0,0.0,0.0,0.0,1.0
34,0.5,3.7199999999999998,3.0,1.0,0.0,0.0,0.0,1.0
35,0.5,3.7199999999999998,3.25,1.0,0.0,0.0,0.0,1.0
36,0.5,3.7199999999999998,3.5,1.0,0.0,0.0,0.0,1.0
37,0.5,3.7199999999999998,3.75,1.0,0.0,0.0,0.0,1.0
38,0.5,3.7199999999999998,4.0,1.0,0.0,0.0,0.0,1.0
39,0.5,3.58,1.0,0.0,0.0,0.0,0.0,0.0
40,0.5,3.58,1.25,1.0,0.0,0.0,0.0,1.0
41,0.5,3.58,1.5,1.0,0.0,0.0,0.0,1.0
42,0.5,3.58,1.75,1.0,0.0,0.0,0.0,1.0
43,0.5,3.58,2.0,1.0,0.0,0.0,0.0,1.0
44,0.5,3.58,2.25,1.0,0.0,0.0,0.0,1.0
45,0.5,3.58,2.5,1.0,0.0,0.0,0.0,1.0
46,0.5,3.58,2.75,1.0,0.0,0.0,0.0,1.0
47,0.5,3.58,3.0,1.0,0.0,0.0,0.0,1.0
48,0.5,3.58,3.25,1.0,0.0,0.0,0.0,1.0
49,0.5,3.58,3.5,1.0,0.0,0.0,0.0,1.0
50,0.5,3.58,3.75,1.0,0.0,0.0,0.0,1.0
51,0.5,3.58,4.0,1.0,0.0,0.0,0.0,1.0
52,0.5,3.44,1.0,0.0,0.0,0.0,0.0,0.0
53,0.5,3.44,1.25,1.0,0.0,0.0,0.0,1.0
54,0.5,3.44,1.5,1.0,0.0,0.0,0.0,1.0
55,0.5,3.44,1.75,1.0,0.0,0.0,0.0,1.0
56,0.5,3.44,2.0,1.0,0.0,0.0,0.0,1.0
57,0.5,3.44,2.25,1.0,0.0,0.0,0.0,1.0
58,0.5,3.44,2.5,1.0,0.0,0.0,0.0,1.0
59,0.5,3.44,2.75,1.0,0.0,0.0,0.0,1.0
60,0.5,3.44,3.0,1.0,0.0,0.0,0.0,1.0
61,0.5,3.44,3.25,1.0,0.0,0.0,0.0,1.0
62,0.5,3.44,3.5,1.0,0.0,0.0,0.0,1.0
63,0.5,3.44,3.75,1.0,0.0,0.0,0.0,1.0
64,0.5,3.44,4.0,1.0,0.0,0.0,0.0,1.0
65,0.5,3.3,1.0,0.0,0.0,0.0,0.0,0.0
66,0.5,3.3,1.25,1.0,0.0,0.0,0.0,1.0
67,0.5,3.3,1.5,1.0,0.0,0.0,0.0,1.0
68,0.5,3.3,1.75,1.0,0.0,0.0,0.0,1.0
69,0.5,3.3,2.0,1.0,0.0,0.0,0.0,1.0
70,0.5,3.3,2.25,1.0,0.0,0.0,0.0,1.0
71,0.5,3.3,2.5,1.0,0.0,0.0,0.0,1.0
72,0.5,3.3,2.75,1.0,0.0,0.0,0.0,1.0
73,0.5,3.3,3.0,1.0,0.0,0.0,0.0,1.0
74,0.5,3.3,3.25,1.0,0.0,0.0,0.0,1.0
75,0.5,3.3,3.5,1.0,0.0,0.0,0.0,1.0
76,0.5,3.3,3.75,1.0,0.0,0.0,0.0,1.0
77,0.5,3.3,4.0,1.0,0.0,0.0,0.0,1.0
78,0.5,3.16,1.0,0.0,0.0,0.0,0.0,0.0
79,0.5,3.16,1.25,1.0,0.0,0.0,0.0,1.0
80,0.5,3.16,1.5,1.0,0.0,0.0,0.0,1.0
81,0.5,3.16,1.75,1.0,0.0,0.0,0.0,1.0
82,0.5,3.16,2.0,1.0,0.0,0.0,0.0,1.0
83,0.5,3.16,2.25,1.0,0.0,0.0,0.0,1.0
84,0.5,3.16,2.5,1.0,0.0,0.0,0.0,1.0
85,0.5,3.16,2.75,1.0,0.0,0.0,0.0,1.0
86,0.5,3.16,3.0,1.0,0.0,0.0,0.0,1.0
87,0.5,3.16,3.25,1.0,0.0,0.0,0.0,1.0
88,0.5,3.16,3.5,1.0,0.0,0.0,0.0,1.0
89,0.5,3.16,3.75,1.0,0.0,0.0,0.0,1.0
90,0.5,3.16,4.0,1.0,0.0,0.0,0.0,1.0
91,0.5,3.02,1.0,0.0,0.0,0.0,0.0,0.0
92,0.5,3.02,1.25,1.0,0.0,0.0,0.0,1.0
93,0.5,3.02,1.5,1.0,0.0,0.0,0.0,1.0
94,0.5,3.02,1.75,1.0,0.0,0.0,0.0,1.0
95,0.5,3.02,2.0,1.0,0.0,0.0,0.0,1.0
96,0.5,3.02,2.25,1.0,0.0,0.0,0.0,1.0
97,0.5,3.02,2.5,1.0,0.0,0.0,0.0,1.0
98,0.5,3.02,2.75,1.0,0.0,0.0,0.0,1.0
99,0.5,3.02,3.0,1.0,0.0,0.0,0.0,1.0
100,0.5,3.02,3.25,1.0,0.0,0.0,0.0,1.0
101,0.5,3.02,3.5,1.0,0.0,0.0,0.0,1.0
102,0.5,3.02,3.75,1.0,0.0,0.0,0.0,1.0
103,0.5,3.02,4.0,1.0,0.0,0.0,0.0,1.0
104,0.5,2.88,1.0,0.0,0.0,0.0,0.0,0.0
105,0.5,2.88,1.25,1.0,0.0,0.0,0.0,1.0
106,0.5,2.88,1.5,1.0,0.0,0.0,0.0,1.0
107,0.5,2.88,1.75,1.0,0.0,0.0,0.0,1.0
108,0.5,2.88,2.0,1.0,0.0,0.0,0.0,1.0
109,0.5,2.88,2.25,1.0,0.0,0.0,0.0,1.0
110,0.5,2.88,2.5,1.0,0.0,0.0,0.0,1.0
111,0.5,2.88,2.75,1.0,0.0,0.0,0.0,1.0
112,0.5,2.88,3.0,1.0,0.0,0.0,0.0,1.0
113,0.5,2.88,3.25,1.0,0.0,0.0,0.0,1.0
114,0.5,2.88,3.5,1.0,0.0,0.0,0.0,1.0
115,0.5,2.88,3.75,1.0,0.0,0.0,0.0,1.0
116,0.5,2.88,4.0,1.0,0.0,0.0,0.0,1.0
117,0.5,2.7399999999999998,1.0,0.0,0.0,0.0,0.0,0.0
118,0.5,2.7399999999999998,1.25,1.0,0.0,0.0,0.0,1.0
119,0.5,2.7399999999999998,1.5,1.0,0.0,0.0,0.0,1.0
120,0.5,2.7399999999999998,1.75,1.0,0.0,0.0,0.0,1.0
121,0.5,2.7399999999999998,2.0,1.0,0.0,0.0,0.0,1.0
122,0.5,2.7399999999999998,2.25,1.0,0.0,0.0,0.0,1.0
123,0.5,2.7399999999999998,2.5,1.0,0.0,0.0,0.0,1.0
124,0.5,2.7399999999999998,2.75,1.0,0.0,0.0,0.0,1.0
125,0.5,2.7399999999999998,3.0,1.0,0.0,0.0,0.0,1.0
126,0.5,2.7399999999999998,3.25,1.0,0.0,0.0,0.0,1.0
127,0.5,2.7399999999999998,3.5,1.0,0.0,0.0,0.0,1.0
128,0.5,2.7399999999999998,3.75,1.0,0.0,0.0,0.0,1.0
129,0.5,2.7399999999999998,4.0,1.0,0.0,0.0,0.0,1.0
130,0.5,2.5999999999999996,1.0,0.0,0.0,0.0,0.0,0.0
131,0.5,2.5999999999999996,1.25,1.0,0.0,0.0,0.0,1.0
132,0.5,2.5999999999999996,1.5,1.0,0.0,0.0,0.0,1.0
133,0.5,2.5999999999999996,1.75,1.0,0.0,0.0,0.0,1.0
134,0.5,2.5999999999999996,2.0,1.0,0.0,0.0,0.0,1.0
135,0.5,2.5999999999999996,2.25,1.0,0.0,0.0,0.0,1.0
136,0.5,2.5999999999999996,2.5,1.0,0.0,0.0,0.0,1.0
137,0.5,2.5999999999999996,2.75,1.0,0.0,0.0,0.0,1.0
138,0.5,2.5999999999999996,3.0,1.0,0.0,0.0,0.0,1.0
139,0.5,2.5999999999999996,3.25,1.0,0.0,0.0,0.0,1.0
140,0.5,2.5999999999999996,3.5,1.0,0.0,0.0,0.0,1.0
141,0.5,2.5999999999999996,3.75,1.0,0.0,0.0,0.0,1.0
142,0.5,2.5999999999999996,4.0,1.0,0.0,0.0,0.0,1.0
143,0.5,2.46,1.0,0.0,0.0,0.0,0.0,0.0
144,0.5,2.46,1.25,1.0,0.0,0.0,0.0,1.0
145,0.5,2.46,1.5,1.0,0.0,0.0,0.0,1.0
146,0.5,2.46,1.75,1.0,0.0,0.0,0.0,1.0
147,0.5,2.46,2.0,1.0,0.0,0.0,0.0,1.0
148,0.5,2.46,2.25,1.0,0.0,0.0,0.0,1.0
149,0.5,2.46,2.5,1.0,0.0,0.0,0.0,1.0
150,0.5,2.46,2.75,1.0,0.0,0.0,0.0,1.0
151,0.5,2.46,3.0,1.0,0.0,0.0,0.0,1.0
152,0.5,2.46,3.25,1.0,0.0,0.0,0.0,1.0
153,0.5,2.46,3.5,1.0,0.0,0.0,0.0,1.0
154,0.5,2.46,3.75,1.0,0.0,0.0,0.0,1.0
155,0.5,2.46,4.0,1.0,0.0,0.0,0.0,1.0
156,0.5,2.32,1.0,0.0,0.0,0.0,0.0,0.0
157,0.5,2.32,1.25,1.0,0.0,0.0,0.0,1.0
158,0.5,2.32,1.5,1.0,0.0,0.0,0.0,1.0
159,0.5,2.32,1.75,1.0,0.0,0.0,0.0,1.0
160,0.5,2.32,2.0,1.0,0.0,0.0,0.0,1.0
161,0.5,2.32,2.25,1.0,0.0,0.0,0.0,1.0
162,0.5,2.32,2.5,1.0,0.0,0.0,0.0,1.0
163,0.5,2.32,2.75,1.0,0.0,0.0,0.0,1.0
164,0.5,2.32,3.0,1.0,0.0,0.0,0.0,1.0
165,0.5,2.32,3.25,1.0,0.0,0.0,0.0,1.0
166,0.5,2.32,3.5,1.0,0.0,0.0,0.0,1.0
167,0.5,2.32,3.75,1.0,0.0,0.0,0.0,1.0
168,0.5,2.32,4.0,1.0,0.0,0.0,0.0,1.0
169,0.5,2.1799999999999997,1.0,1.0,0.0,0.0,0.0,1.0
170,0.5,2.1799999999999997,1.25,1.0,0.0,0.0,0.0,1.0
171,0.5,2.1799999999999997,1.5,1.0,0.0,0.0,0.0,1.0
172,0.5,2.1799999999999997,1.75,1.0,0.0,0.0,0.0,1.0
173,0.5,2.1799999999999997,2.0,1.0,0.0,0.0,0.0,1.0
174,0.5,2.1799999999999997,2.25,1.0,0.0,0.0,0.0,1.0
175,0.5,2.1799999999999997,2.5,1.0,0.0,0.0,0.0,1.0
176,0.5,2.1799999999999997,2.75,1.0,0.0,0.0,0.0,1.0
177,0.5,2.1799999999999997,3.0,1.0,0.0,0.0,0.0,1.0
178,0.5,2.1799999999999997,3.25,1.0,0.0,0.0,0.0,1.0
179,0.5,2.1799999999999997,3.5,1.0,0.0,0.0,0.0,1.0
180,0.5,2.1799999999999997,3.75,1.0,0.0,0.0,0.0,1.0
181,0.5,2.1799999999999997,4.0,1.0,0.0,0.0,0.0,1.0
182,0.5,2.04,1.0,1.0,0.0,0.0,0.0,1.0
183,0.5,2.04,1.25,1.0,0.0,0.0,0.0,1.0
184,0.5,2.04,1.5,1.0,0.0,0.0,0.0,1.0
185,0.5,2.04,1.75,1.0,0.0,0.0,0.0,1.0
186,0.5,2.04,2.0,1.0,0.0,0.0,0.0,1.0
187,0.5,2.04,2.25,1.0,0.0,0.0,0.0,1.0
188,0.5,2.04,2.5,1.0,0.0,0.0,0.0,1.0
189,0.5,2.04,2.75,1.0,0.0,0.0,0.0,1.0
190,0.5,2.04,3.0,1.0,0.0,0.0,0.0,1.0
191,0.5,2.04,3.25,1.0,0.0,0.0,0.0,1.0
192,0.5,2.04,3.5,1.0,0.0,0.0,0.0,1.0
193,0.5,2.04,3.75,1.0,0.0,0.0,0.0,1.0
194,0.5,2.04,4.0,1.0,0.0,0.0,0.0,1.0
195,0.5,1.9,1.0,1.0,0.0,0.0,0.0,1.0
196,0.5,1.9,1.25,1.0,0.0,0.0,0.0,1.0
197,0.5,1.9,1.5,1.0,0.0,0.0,0.0,1.0
198,0.5,1.9,1.75,1.0,0.0,0.0,0.0,1.0
199,0.5,1.9,2.0,1.0,0.0,0.0,0.0,1.0
200,0.5,1.9,2.25,1.0,0.0,0.0,0.0,1.0
201,0.5,1.9,2.5,1.0,0.0,0.0,0.0,1.0
202,0.5,1.9,2.75,1.0,0.0,0.0,0.0,1.0
203,0.5,1.9,3.0,1.0,0.0,0.0,0.0,1.0
204,0.5,1.9,3.25,1.0,0.0,0.0,0.0,1.0
205,0.5,1.9,3.5,1.0,0.0,0.0,0.0,1.0
206,0.5,1.9,3.75,1.0,0.0,0.0,0.0,1.0
207,0.5,1.9,4.0,1.0,0.0,0.0,0.0,1.0
208,0.5,1.7599999999999998,1.0,1.0,0.0,0.0,0.0,1.0
209,0.5,1.7599999999999998,1.25,1.0,0.0,0.0,0.0,1.0
210,0.5,1.7599999999999998,1.5,1.0,0.0,0.0,0.0,1.0
211,0.5,1.7599999999999998,1.75,1.0,0.0,0.0,0.0,1.0
212,0.5,1.7599999999999998,2.0,1.0,0.0,0.0,0.0,1.0
213,0.5,1.7599999999999998,2.25,1.0,0.0,0.0,0.0,1.0
214,0.5,1.7599999999999998,2.5,1.0,0.0,0.0,0.0,1.0
215,0.5,1.7599999999999998,2.75,1.0,0.0,0.0,0.0,1.0
216,0.5,1.7599999999999998,3.0,1.0,0.0,0.0,0.0,1.0
217,0.5,1.7599999999999998,3.25,1.0,0.0,0.0,0.0,1.0
218,0.5,1.7599999999999998,3.5,1.0,0.0,0.0,0.0,1.0
219,0.5,1.7599999999999998,3.75,1.0,0.0,0.0,0.0,1.0
220,0.5,1.7599999999999998,4.0,1.0,0.0,0.0,0.0,1.0
221,0.5,1.6199999999999997,1.0,1.0,0.0,0.0,0.0,1.0
222,0.5,1.6199999999999997,1.25,1.0,0.0,0.0,0.0,1.0
223,0.5,1.6199999999999997,1.5,1.0,0.0,0.0,0.0,1.0
224,0.5,1.6199999999999997,1.75,1.0,0.0,0.0,0.0,1.0
225,0.5,1.6199999999999997,2.0,1.0,0.0,0.0,0.0,1.0
226,0.5,1.6199999999999997,2.25,1.0,0.0,0.0,0.0,1.0
227,0.5,1.6199999999999997,2.5,1.0,0.0,0.0,0.0,1.0
228,0.5,1.6199999999999997,2.75,1.0,0.0,0.0,0.0,1.0
229,0.5,1.6199999999999997,3.0,1.0,0.0,0.0,0.0,1.0
230,0.5,1.6199999999999997,3.25,1.0,0.0,0.0,0.0,1.0
231,0.5,1.6199999999999997,3.5,1.0,0.0,0.0,0.0,1.0
232,0.5,1.6199999999999997,3.75,1.0,0.0,0.0,0.0,1.0
233,0.5,1.6199999999999997,4.0,1.0,0.0,0.0,0.0,1.0
234,0.5,1.4799999999999995,1.0,1.0,0.0,0.0,0.0,1.0
235,0.5,1.4799999999999995,1.25,1.0,0.0,0.0,0.0,1.0
236,0.5,1.4799999999999995,1.5,1.0,0.0,0.0,0.0,1.0
237,0.5,1.4799999999999995,1.75,1.0,0.0,0.0,0.0,1.0
238,0.5,1.4799999999999995,2.0,1.0,0.0,0.0,0.0,1.0
239,0.5,1.4799999999999995,2.25,1.0,0.0,0.0,0.0,1.0
240,0.5,1.4799999999999995,2.5,1.0,0.0,0.0,0.0,1.0
241,0.5,1.4799999999999995,2.75,1.0,0.0,0.0,0.0,1.0
242,0.5,1.4799999999999995,3.0,1.0,0.0,0.0,0.0,1.0
243,0.5,1.4799999999999995,3.25,1.0,0.0,0.0,0.0,1.0
244,0.5,1.4799999999999995,3.5,1.0,0.0,0.0,0.0,1.0
245,0.5,1.4799999999999995,3.75,1.0,0.0,0.0,0.0,1.0
246,0.5,1.4799999999999995,4.0,1.0,0.0,0.0,0.0,1.0
247,0.5,1.3399999999999999,1.0,1.0,0.0,0.0,0.0,1.0
248,0.5,1.3399999999999999,1.25,1.0,0.0,0.0,0.0,1.0
249,0.5,1.3399999999999999,1.5,1.0,0.0,0.0,0.0,1.0
250,0.5,1.3399999999999999,1.75,1.0,0.0,0.0,0.0,1.0
251,0.5,1.3399999999999999,2.0,1.0,0.0,0.0,0.0,1.0
252,0.5,1.3399999999999999,2.25,1.0,0.0,0.0,0.0,1.0
253,0.5,1.3399999999999999,2.5,1.0,0.0,0.0,0.0,1.0
254,0.5,1.3399999999999999,2.75,1.0,0.0,0.0,0.0,1.0
255,0.5,1.3399999999999999,3.0,1.0,0.0,0.0,0.0,1.0
256,0.5,1.3399999999999999,3.25,1.0,0.0,0.0,0.0,1.0
257,0.5,1.3399999999999999,3.5,1.0,0.0,0.0,0.0,1.0
258,0.5,1.3399999999999999,3.75,1.0,0.0,0.0,0.0,1.0
259,0.5,1.3399999999999999,4.0,1.0,0.0,0.0,0.0,1.0
260,0.5,1.1999999999999997,1.0,1.0,0.0,0.0,0.0,1.0
261,0.5,1.1999999999999997,1.25,1.0,0.0,0.0,0.0,1.0
262,0.5,1.1999999999999997,1.5,1.0,0.0,0.0,0.0,1.0
263,0.5,1.1999999999999997,1.75,1.0,0.0,0.0,0.0,1.0
264,0.5,1.1999999999999997,2.0,1.0,0.0,0.0,0.0,1.0
265,0.5,1.1999999999999997,2.25,1.0,0.0,0.0,0.0,1.0
266,0.5,1.1999999999999997,2.5,1.0,0.0,0.0,0.0,1.0
267,0.5,1.1999999999999997,2.75,1.0,0.0,0.0,0.0,1.0
268,0.5,1.1999999999999997,3.0,1.0,0.0,0.0,0.0,1.0
269,0.5,1.1999999999999997,3.25,1.0,0.0,0.0,0.0,1.0
270,0.5,1.1999999999999997,3.5,1.0,0.0,0.0,0.0,1.0
271,0.5,1.1999999999999997,3.75,1.0,0.0,0.0,0.0,1.0
272,0.5,1.1999999999999997,4.0,1.0,0.0,0.0,0.0,1.0
273,0.5,1.0599999999999996,1.0,1.0,0.0,0.0,0.0,1.0
274,0.5,1.0599999999999996,1.25,1.0,0.0,0.0,0.0,1.0
275,0.5,1.0599999999999996,1.5,1.0,0.0,0.0,0.0,1.0
276,0.5,1.0599999999999996,1.75,1.0,0.0,0.0,0.0,1.0
277,0.5,1.0599999999999996,2.0,1.0,0.0,0.0,0.0,1.0
278,0.5,1.0599999999999996,2.25,1.0,0.0,0.0,0.0,1.0
279,0.5,1.0599999999999996,2.5,1.0,0.0,0.0,0.0,1.0
280,0.5,1.0599999999999996,2.75,1.0,0.0,0.0,0.0,1.0
281,0.5,1.0599999999999996,3.0,1.0,0.0,0.0,0.0,1.0
282,0.5,1.0599999999999996,3.25,1.0,0.0,0.0,0.0,1.0
283,0.5,1.0599999999999996,3.5,1.0,0.0,0.0,0.0,1.0
284,0.5,1.0599999999999996,3.75,1.0,0.0,0.0,0.0,1.0
285,0.5,1.0599999999999996,4.0,1.0,0.0,0.0,0.0,1.0
286,0.5,0.9199999999999999,1.0,1.0,0.0,0.0,0.0,1.0
287,0.5,0.9199999999999999,1.25,1.0,0.0,0.0,0.0,1.0
288,0.5,0.9199999999999999,1.5,1.0,0.0,0.0,0.0,1.0
289,0.5,0.9199999999999999,1.75,1.0,0.0,0.0,0.0,1.0
290,0.5,0.9199999999999999,2.0,1.0,0.0,0.0,0.0,1.0
291,0.5,0.9199999999999999,2.25,1.0,0.0,0.0,0.0,1.0
292,0.5,0.9199999999999999,2.5,1.0,0.0,0.0,0.0,1.0
293,0.5,0.9199999999999999,2.75,1.0,0.0,0.0,0.0,1.0
294,0.5,0.9199999999999999,3.0,1.0,0.0,0.0,0.0,1.0
295,0.5,0.9199999999999999,3.25,1.0,0.0,0.0,0.0,1.0
296,0.5,0.9199999999999999,3.5,1.0,0.0,0.0,0.0,1.0
297,0.5,0.9199999999999999,3.75,1.0,0.0,0.0,0.0,1.0
298,0.5,0.9199999999999999,4.0,1.0,0.0,0.0,0.0,1.0
299,0.5,0.7799999999999998,1.0,1.0,0.0,0.0,0.0,1.0
300,0.5,0.7799999999999998,1.25,1.0,0.0,0.0,0.0,1.0
301,0.5,0.7799999999999998,1.5,1.0,0.0,0.0,0.0,1.0
302,0.5,0.7799999999999998,1.75,1.0,0.0,0.0,0.0,1.0
303,0.5,0.7799999999999998,2.0,1.0,0.0,0.0,0.0,1.0
304,0.5,0.7799999999999998,2.25,1.0,0.0,0.0,0.0,1.0
